days,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80
19.152,1.7664,2.6738,1.1758,1.9933,0.5758,3.7248,0.7651,4.0779,2.2711,3.8121,1.7477,2.6577,1.4658,2.5638,4.9369,2.1101,1.5383,5.7369,1.7799,3.3342,2.2577,1.7638,1.2564,3.6,16.1221,3.7933,8.2416,1.7262,1.6591,1.0094,2.1603,1.9675,2.346,2.5232,5.5434,0.5974,0.5979,0.6051,6.6704,0.7268,0.7018,0.9121,5.8484,4.1819,2.5947,6.2516,3.2637,6.9115,2.0713,2.2565,1.6856,2.0471,4.0766,1.4033,3.0301,1.2744,3.8597,0.5094,1.2422,1.0731,1.1612,1.355,1.2664,0.5899,1.5554,2.8601,0.6051,1.3469,5.0919,1.1048,4.3509,2.0798,0.7101,1.9107,0.6705,5.4382,0.1468,0.7912,0.6212,0.2185
19.173,2.0242,1.1114,1.6671,1.3248,0.5034,3.1772,0.757,3.8443,3.1168,5.7128,1.7396,1.506,1.6591,1.9758,4.2604,2.2631,1.8846,5.6,1.7718,3.2456,1.6537,2.4161,1.3208,3.6242,15.6067,3.4389,8.6523,2.4349,1.047,0.6711,0.5496,2.491,1.8226,2.789,6.8319,0.9115,0.2597,1.338,5.3415,1.3308,0.6776,2.0718,4.9142,3.9805,2.9813,6.7509,2.4745,6.9437,2.1115,1.5075,1.4199,1.2417,2.8766,1.4516,3.747,1.0489,3.0784,0.8395,0.9282,0.614,0.9759,1.6852,1.6369,0.7429,1.3058,2.8682,0,1.8301,5.1724,1.6766,5.0356,2.1603,1.0645,1.6127,1.3872,6.0422,1.1213,1.2583,0.6615,0.0494
19.194,0.8,1.0067,1.1114,0.4872,0.8094,3.5074,0.9584,2.3946,3.3101,5.157,1.3852,1.1275,1.4658,1.1544,4.3007,2.2792,1.5383,5.0523,1.5544,3.5356,2.0966,2.6819,1.2403,3.6644,15.9691,2.7866,7.243,1.3315,1.8362,0.3893,0,1.597,2.5313,2.7648,7.7501,0.1867,0.2758,1.5232,5.5187,1.4033,0.7903,1.798,4.1975,4.7456,4.0122,5.9456,2.7644,6.0337,1.3303,1.8297,1.3152,0.6296,2.0471,2.5147,3.4892,0.9282,3.2798,1.1939,1.21,1.4436,0.7585,1.1133,1.798,1.5321,1.0159,3.1098,0,1.355,4.6086,1.2417,5.2046,2.0879,1.9022,2.4503,1.516,6.163,1.081,1.661,0.8306,0
19.214,0.7517,1.1678,1.8926,0.6242,0.8336,3.2738,1.0953,2.1933,2.8832,5.4953,1.2242,0.7732,1.3289,1.8389,5.1866,1.8846,1.9651,4.4242,0.1047,3.5597,1.7987,2.8832,1.3208,4.7114,14.1732,2.2228,6.7919,1.8792,2.2872,0.349,0,0.5742,2.9098,1.8306,6.8964,0.2994,0,1.5635,6.5496,1.2422,0.7662,2.6597,3.9639,4.3187,4.5034,4.6086,3.3604,5.6632,0.8551,2.039,1.4843,0.6296,2.2243,2.5952,3.9564,0.9523,3.6342,1.1778,0.8798,1.5805,0.8391,1.3631,1.4516,2.0476,1.5393,2.8038,0.2749,1.0489,4.7456,1.2095,6.8074,2.1925,1.274,2.6435,1.1778,6.5657,0.3642,1.8462,0.7259,0.3152
19.235,1.6698,1.2161,2.3195,1.3329,1.1718,3.3624,0.6443,1.5409,2.6094,6.494,1.2242,0.9906,1.6349,2.1772,4.5101,2.255,2.8993,4.3275,0.5074,3.0362,1.8792,2.5047,1.4013,4.9691,14.5517,2.0779,6.0993,1.0497,2.8832,1.2268,0.7107,1.3957,3.4494,2.9501,7.9353,0.5249,0.5013,1.8454,5.7764,2.5388,0.3716,2.5308,3.682,3.3039,4.2377,4.9952,3.3201,4.3907,1.7652,1.5558,1.4199,0.8551,1.8135,2.708,4.9308,0.8717,2.0476,1.4516,0.5416,0.6866,0.9437,1.4516,1.3147,1.3147,2.3366,2.7554,0.6695,0.8556,5.2852,0.9115,7.6368,1.7496,0.8874,2.7724,0.6221,6.2677,0.5495,1.1294,0.887,0.742
19.256,1.3557,1.3289,2.6416,1.6792,1.4376,2.6295,1.0631,1.847,3.6886,8.8698,1.3611,0.8376,1.6107,1.3074,3.9785,2.5691,2.8913,3.8926,0.7409,3.1248,1.5732,2.996,1.047,4.7758,13.8027,1.7879,5.898,0.8483,2.2792,1.0658,0.9039,1.9675,2.9662,2.5877,9.1514,0.1464,0.4852,1.8132,4.5845,2.4341,0.3877,2.5228,3.5853,2.7805,3.5773,4.9872,3.0221,3.4645,1.7572,1.0807,1.291,0.0578,1.5478,3.0462,5.6395,1.0811,2.0557,1.7819,0.5416,0.9604,1.145,0.7349,1.1859,1.2825,1.7568,2.6024,0.9675,1.0489,4.2623,1.0162,7.1295,1.3792,1.3464,2.9818,0.8234,4.8261,0.5011,1.2422,0.6937,1.1286
19.277,1.4121,1.1275,2.8913,1.3168,1.4698,2.1785,1.2725,1.8872,4.5503,9.0309,1.2966,0.5396,1.7638,1.3799,3.5597,3.0523,3.3745,3.7154,1.1114,2.5047,1.4765,4.4215,1.1839,5.404,10.7826,1.8765,5.7691,1.6215,2.2953,1.7745,0.163,2.7729,4.1501,1.2749,8.5393,0.1706,0.4127,2.2561,3.5697,2.0234,0.4843,3.2878,3.5773,2.0154,3.6014,4.2463,2.8368,2.9491,1.7169,0.2834,1.597,0.6135,0.8632,3.5859,5.3416,0.9443,2.2248,2.6839,1.0087,0.8234,0.9034,0.5013,0.4207,1.4597,1.8454,2.3044,0.9595,1.0248,4.9711,0.7424,8.5147,1.6932,1.435,2.2248,0.0584,4.359,0.6783,1.2019,0.4279,0.5246
19.298,1.6537,1.1436,2.7946,1.9208,1.0591,2.4604,1.2403,1.5409,4.5664,9.651,1.1436,1.0309,1.7315,1.1221,4.2201,3.745,2.9638,3.2886,1.0148,2.1584,2,4.0268,0.5396,3.906,10.6054,1.1839,5.302,1.549,2.4161,1.404,1.0006,2.9662,5.6319,2.2736,9.7313,1.129,0.1388,2.538,3.763,2.4341,0.6051,4.8664,2.7075,1.4838,2.9894,4.053,2.2409,2.9088,1.3223,0.1544,1.9997,0.5733,0.8712,3.8597,5.1724,0.9201,1.7093,1.661,0.8073,0.759,1.0726,0.614,0.1308,1.508,1.8776,1.7407,0.1863,0.6382,5.8328,0.7504,8.3215,1.7013,1.7007,1.6369,0.7188,3.8838,0,1.3308,1.4105,0.3152
19.319,1.0416,0.8215,2.6497,2.5007,1.2523,2.7503,1.1839,1.6617,4.0349,9.3691,0.8134,1.2644,1.3852,0.4215,2.9638,2.7705,2.9638,3.1758,0.7651,2.3356,2.9181,3.3987,0.3221,3.6564,9.9611,1.1758,4.4644,1.0497,2.7141,1.2107,2.0959,3.1595,6.534,2.4346,7.3715,0.8954,0.2274,2.836,3.4248,2.6597,0.5407,5.9133,3.1585,1.508,2.2887,3.2395,1.5321,1.886,1.2256,0.7504,1.7984,0,0.7183,4.963,5.3657,0.8476,1.4597,1.8141,0.8476,0.9201,0.7907,0.5255,0,1.0409,1.5957,1.9984,0.2105,0.8315,5.3013,0.7988,8.1845,1.4919,0.8551,2.1362,0.9765,4.3831,0,1.7737,1.6038,0.8387
19.339,1.549,0.4268,2.3517,2.3638,2.4282,1.9208,0.9503,1.5007,4.2523,9.2161,1.3289,1.1597,2.5611,0.4054,2.8913,3.149,2.2792,3.6671,0.8779,1.7799,4.2711,3.0523,0.6765,4.3651,8.7208,0.7087,3.5785,1.4846,2.9235,1.0094,1.6449,4.3595,5.7286,1.4762,6.8319,0.8551,0.5496,3.9393,3.2556,2.5711,0.5568,6.3805,3.376,1.0328,2.933,2.869,1.2503,1.0484,0.9518,0.3558,1.6454,0,0.7101,5.9376,5.1241,0.7671,1.6208,2.4503,1.3066,1.7496,1.0807,0.4127,0.2113,0.7751,2.4575,1.8776,0.1783,0.9764,5.8086,0.2189,8.6355,0.8878,1.4028,2.0959,1.1617,4.5039,0.4528,1.2905,2.24,1.636
